,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,11000.0,11155.0,10950.0,11155.0,1227100.0,11155.0
1,2017-01-05,11165.0,11170.0,11035.0,11065.0,884900.0,11065.0
2,2017-01-06,11055.0,11115.0,11035.0,11110.0,705200.0,11110.0
3,2017-01-10,11070.0,11300.0,11040.0,11200.0,1059000.0,11200.0
4,2017-01-11,11215.0,11250.0,11070.0,11110.0,753000.0,11110.0
5,2017-01-12,11205.0,11235.0,11090.0,11195.0,865500.0,11195.0
6,2017-01-13,11315.0,11350.0,11235.0,11280.0,1118900.0,11280.0
7,2017-01-16,11235.0,11360.0,11220.0,11235.0,866600.0,11235.0
8,2017-01-17,11130.0,11200.0,11055.0,11055.0,823500.0,11055.0
9,2017-01-18,11090.0,11215.0,10965.0,11155.0,1109200.0,11155.0
10,2017-01-19,11245.0,11290.0,11120.0,11195.0,804700.0,11195.0
11,2017-01-20,11250.0,11380.0,11210.0,11340.0,829300.0,11340.0
12,2017-01-23,11250.0,11335.0,11200.0,11240.0,998700.0,11240.0
13,2017-01-24,11195.0,11275.0,11165.0,11180.0,759700.0,11180.0
14,2017-01-25,11420.0,11455.0,11265.0,11320.0,682800.0,11320.0
15,2017-01-26,11490.0,11500.0,11380.0,11450.0,1092600.0,11450.0
16,2017-01-27,11475.0,11485.0,11405.0,11450.0,996200.0,11450.0
17,2017-01-30,11500.0,11540.0,11420.0,11460.0,652100.0,11460.0
18,2017-01-31,11370.0,11390.0,11210.0,11225.0,1021100.0,11225.0
19,2017-02-01,11170.0,11350.0,11170.0,11340.0,641600.0,11340.0
20,2017-02-02,11385.0,11415.0,11125.0,11165.0,897000.0,11165.0
21,2017-02-03,11145.0,11210.0,11020.0,11060.0,1055500.0,11060.0
22,2017-02-06,11165.0,11185.0,11035.0,11125.0,568600.0,11125.0
23,2017-02-07,11055.0,11310.0,11010.0,11245.0,887200.0,11245.0
24,2017-02-08,11245.0,11265.0,11140.0,11240.0,603800.0,11240.0
25,2017-02-09,11535.0,11535.0,11120.0,11160.0,977600.0,11160.0
26,2017-02-10,11440.0,11440.0,11230.0,11325.0,1222600.0,11325.0
27,2017-02-13,11340.0,11355.0,11220.0,11260.0,744400.0,11260.0
28,2017-02-14,11040.0,11080.0,10785.0,10785.0,1834000.0,10785.0
29,2017-02-15,10890.0,11030.0,10860.0,11000.0,999400.0,11000.0
30,2017-02-16,10950.0,11035.0,10835.0,10960.0,720200.0,10960.0
31,2017-02-17,10840.0,10880.0,10680.0,10690.0,1263800.0,10690.0
32,2017-02-20,10630.0,10760.0,10570.0,10720.0,831200.0,10720.0
33,2017-02-21,10700.0,10810.0,10670.0,10780.0,765300.0,10780.0
34,2017-02-22,10995.0,10995.0,10815.0,10860.0,711600.0,10860.0
35,2017-02-23,10860.0,10865.0,10740.0,10800.0,566100.0,10800.0
36,2017-02-24,10750.0,10865.0,10685.0,10770.0,504900.0,10770.0
37,2017-02-27,10675.0,10700.0,10570.0,10590.0,712800.0,10590.0
38,2017-02-28,10685.0,10780.0,10650.0,10665.0,1023000.0,10665.0
39,2017-03-01,10715.0,10880.0,10670.0,10850.0,1172900.0,10850.0
40,2017-03-02,11045.0,11055.0,10950.0,10960.0,1039100.0,10960.0
41,2017-03-03,10935.0,10970.0,10845.0,10935.0,795000.0,10935.0
42,2017-03-06,10870.0,10875.0,10810.0,10860.0,527000.0,10860.0
43,2017-03-07,10810.0,10940.0,10800.0,10915.0,736700.0,10915.0
44,2017-03-08,10935.0,10990.0,10890.0,10935.0,682800.0,10935.0
45,2017-03-09,11000.0,11020.0,10880.0,10930.0,684800.0,10930.0
46,2017-03-10,11135.0,11135.0,11020.0,11070.0,1574700.0,11070.0
47,2017-03-13,11100.0,11120.0,11015.0,11105.0,574700.0,11105.0
48,2017-03-14,11110.0,11110.0,11050.0,11060.0,473200.0,11060.0
49,2017-03-15,11030.0,11075.0,11015.0,11060.0,425200.0,11060.0
50,2017-03-16,11040.0,11125.0,10980.0,11120.0,640000.0,11120.0
51,2017-03-17,11120.0,11250.0,11065.0,11215.0,1083800.0,11215.0
52,2017-03-21,11130.0,11140.0,10985.0,11095.0,714200.0,11095.0
53,2017-03-22,10900.0,10990.0,10865.0,10955.0,937500.0,10955.0
54,2017-03-23,10970.0,10990.0,10865.0,10935.0,649200.0,10935.0
55,2017-03-24,10910.0,11010.0,10900.0,10975.0,1040700.0,10975.0
56,2017-03-27,10940.0,11145.0,10920.0,11110.0,1343700.0,11110.0
57,2017-03-28,11200.0,11325.0,11150.0,11315.0,1096500.0,11315.0
58,2017-03-29,11350.0,11460.0,11265.0,11460.0,1023700.0,11460.0
59,2017-03-30,11465.0,11500.0,11255.0,11280.0,766800.0,11280.0
60,2017-03-31,11385.0,11410.0,11180.0,11185.0,894200.0,11185.0
61,2017-04-03,11195.0,11235.0,11115.0,11160.0,1097800.0,11160.0
62,2017-04-04,11115.0,11150.0,10940.0,11025.0,995100.0,11025.0
63,2017-04-05,11115.0,11135.0,11015.0,11075.0,589500.0,11075.0
64,2017-04-06,10950.0,11000.0,10680.0,10745.0,1256500.0,10745.0
65,2017-04-07,10785.0,10835.0,10640.0,10765.0,1149800.0,10765.0
66,2017-04-10,10845.0,10850.0,10765.0,10800.0,649300.0,10800.0
67,2017-04-11,10765.0,10775.0,10600.0,10655.0,885300.0,10655.0
68,2017-04-12,10590.0,10665.0,10560.0,10610.0,1010100.0,10610.0
69,2017-04-13,10530.0,10605.0,10475.0,10590.0,819400.0,10590.0
70,2017-04-14,10705.0,10710.0,10425.0,10460.0,1198300.0,10460.0
71,2017-04-17,10425.0,10465.0,10385.0,10435.0,448300.0,10435.0
72,2017-04-18,10550.0,10630.0,10470.0,10485.0,673500.0,10485.0
73,2017-04-19,10405.0,10550.0,10405.0,10470.0,836400.0,10470.0
74,2017-04-20,10440.0,10535.0,10440.0,10480.0,850100.0,10480.0
75,2017-04-21,10660.0,10720.0,10530.0,10700.0,1295500.0,10700.0
76,2017-04-24,10910.0,10925.0,10750.0,10785.0,898800.0,10785.0
77,2017-04-25,10790.0,10845.0,10770.0,10790.0,999300.0,10790.0
78,2017-04-26,10740.0,10840.0,10725.0,10800.0,1161100.0,10800.0
79,2017-04-27,10800.0,10940.0,10775.0,10900.0,987200.0,10900.0
80,2017-04-28,10900.0,10930.0,10790.0,10825.0,792200.0,10825.0
81,2017-05-01,10785.0,10875.0,10765.0,10800.0,742300.0,10800.0
82,2017-05-02,10780.0,10815.0,10730.0,10745.0,948200.0,10745.0
83,2017-05-08,10925.0,11285.0,10910.0,11225.0,1890300.0,11225.0
84,2017-05-09,11225.0,11270.0,11195.0,11200.0,1273900.0,11200.0
85,2017-05-10,11245.0,11255.0,11125.0,11135.0,981500.0,11135.0
86,2017-05-11,10740.0,11085.0,10740.0,11055.0,1240700.0,11055.0
87,2017-05-12,11055.0,11070.0,10840.0,10960.0,1542500.0,10960.0
88,2017-05-15,10885.0,10950.0,10770.0,10925.0,754600.0,10925.0
89,2017-05-16,11000.0,11080.0,10940.0,10975.0,986400.0,10975.0
90,2017-05-17,10930.0,11010.0,10890.0,10915.0,905700.0,10915.0
91,2017-05-18,10715.0,10770.0,10650.0,10720.0,1065100.0,10720.0
92,2017-05-19,10720.0,10790.0,10690.0,10760.0,985000.0,10760.0
93,2017-05-22,10785.0,10835.0,10745.0,10835.0,773300.0,10835.0
94,2017-05-23,10900.0,11005.0,10825.0,10860.0,827100.0,10860.0
95,2017-05-24,11020.0,11165.0,10995.0,11150.0,1164400.0,11150.0
96,2017-05-25,11140.0,11140.0,10990.0,10990.0,1033500.0,10990.0
97,2017-05-26,11005.0,11040.0,10925.0,10925.0,682400.0,10925.0
98,2017-05-29,10900.0,10955.0,10785.0,10915.0,575300.0,10915.0
99,2017-05-30,10900.0,10960.0,10855.0,10935.0,475700.0,10935.0
100,2017-05-31,10860.0,10905.0,10785.0,10855.0,1913000.0,10855.0
101,2017-06-01,10850.0,10995.0,10820.0,10970.0,878600.0,10970.0
102,2017-06-02,11050.0,11150.0,11005.0,11105.0,1114600.0,11105.0
103,2017-06-05,11030.0,11125.0,10995.0,11040.0,758900.0,11040.0
104,2017-06-06,10980.0,11010.0,10915.0,10925.0,782900.0,10925.0
105,2017-06-07,10930.0,10965.0,10860.0,10910.0,756100.0,10910.0
106,2017-06-08,10960.0,10980.0,10870.0,10925.0,912500.0,10925.0
107,2017-06-09,10995.0,11170.0,10945.0,11090.0,1643900.0,11090.0
108,2017-06-12,11035.0,11110.0,10985.0,11060.0,714700.0,11060.0
109,2017-06-13,11040.0,11055.0,10960.0,11020.0,668000.0,11020.0
110,2017-06-14,11060.0,11080.0,11000.0,11005.0,582100.0,11005.0
111,2017-06-15,10950.0,11080.0,10910.0,10975.0,560100.0,10975.0
112,2017-06-16,11080.0,11235.0,11075.0,11205.0,1340500.0,11205.0
113,2017-06-19,11200.0,11280.0,11195.0,11270.0,639500.0,11270.0
114,2017-06-20,11355.0,11450.0,11355.0,11410.0,899300.0,11410.0
115,2017-06-21,11355.0,11375.0,11270.0,11295.0,661800.0,11295.0
116,2017-06-22,11295.0,11385.0,11290.0,11300.0,656100.0,11300.0
117,2017-06-23,11345.0,11530.0,11345.0,11520.0,1047700.0,11520.0
118,2017-06-26,11460.0,11560.0,11450.0,11470.0,632300.0,11470.0
119,2017-06-27,11550.0,11555.0,11450.0,11500.0,816600.0,11500.0
120,2017-06-28,11535.0,11640.0,11500.0,11620.0,999000.0,11620.0
121,2017-06-29,11700.0,11765.0,11650.0,11665.0,691400.0,11665.0
122,2017-06-30,11605.0,11650.0,11400.0,11470.0,1070700.0,11470.0
123,2017-07-03,11540.0,11630.0,11530.0,11585.0,736300.0,11585.0
124,2017-07-04,11675.0,11730.0,11545.0,11600.0,687000.0,11600.0
125,2017-07-05,11665.0,11765.0,11595.0,11750.0,619500.0,11750.0
126,2017-07-06,11760.0,11760.0,11550.0,11575.0,815000.0,11575.0
127,2017-07-07,11435.0,11735.0,11405.0,11725.0,1006500.0,11725.0
128,2017-07-10,11775.0,11785.0,11665.0,11735.0,695600.0,11735.0
129,2017-07-11,11720.0,11775.0,11695.0,11765.0,689400.0,11765.0
130,2017-07-12,11710.0,11820.0,11710.0,11755.0,513000.0,11755.0
131,2017-07-13,11770.0,11835.0,11745.0,11750.0,456000.0,11750.0
132,2017-07-14,11815.0,11865.0,11765.0,11820.0,706200.0,11820.0
133,2017-07-18,11810.0,11860.0,11750.0,11805.0,661600.0,11805.0
134,2017-07-19,11785.0,11785.0,11720.0,11750.0,498900.0,11750.0
135,2017-07-20,11715.0,11795.0,11645.0,11775.0,775000.0,11775.0
136,2017-07-21,11680.0,11860.0,11680.0,11825.0,656100.0,11825.0
137,2017-07-24,11885.0,11905.0,11760.0,11870.0,763900.0,11870.0
138,2017-07-25,11905.0,11980.0,11860.0,11950.0,753400.0,11950.0
139,2017-07-26,12025.0,12135.0,11850.0,11890.0,854700.0,11890.0
140,2017-07-27,11865.0,11965.0,11850.0,11935.0,644500.0,11935.0
141,2017-07-28,11880.0,11910.0,11760.0,11770.0,623900.0,11770.0
142,2017-07-31,11700.0,11785.0,11665.0,11700.0,793700.0,11700.0
143,2017-08-01,11660.0,11795.0,11660.0,11685.0,609800.0,11685.0
144,2017-08-02,11675.0,11755.0,11665.0,11725.0,594200.0,11725.0
145,2017-08-03,11725.0,11785.0,11690.0,11710.0,539200.0,11710.0
146,2017-08-04,11630.0,11640.0,11495.0,11540.0,930600.0,11540.0
147,2017-08-07,11605.0,11780.0,11575.0,11755.0,585300.0,11755.0
148,2017-08-08,11795.0,11860.0,11675.0,11740.0,670100.0,11740.0
149,2017-08-09,11665.0,11720.0,11290.0,11325.0,1514100.0,11325.0
150,2017-08-10,11435.0,11445.0,11130.0,11205.0,1246700.0,11205.0
151,2017-08-14,11195.0,11245.0,11125.0,11145.0,1042200.0,11145.0
152,2017-08-15,11235.0,11380.0,11195.0,11335.0,756200.0,11335.0
153,2017-08-16,11300.0,11360.0,11255.0,11295.0,596300.0,11295.0
154,2017-08-17,11270.0,11290.0,11210.0,11240.0,477600.0,11240.0
155,2017-08-18,11130.0,11230.0,11080.0,11100.0,984700.0,11100.0
156,2017-08-21,11080.0,11090.0,10955.0,11010.0,589600.0,11010.0
157,2017-08-22,10920.0,10945.0,10830.0,10855.0,843000.0,10855.0
158,2017-08-23,11045.0,11050.0,10880.0,10895.0,687700.0,10895.0
159,2017-08-24,10855.0,10970.0,10855.0,10880.0,583600.0,10880.0
160,2017-08-25,10945.0,10965.0,10880.0,10900.0,494000.0,10900.0
161,2017-08-28,10940.0,10940.0,10835.0,10845.0,621900.0,10845.0
162,2017-08-29,10805.0,10840.0,10730.0,10835.0,800600.0,10835.0
163,2017-08-30,10920.0,11020.0,10870.0,10955.0,699300.0,10955.0
164,2017-08-31,11000.0,11080.0,10990.0,10995.0,828400.0,10995.0
165,2017-09-01,11070.0,11070.0,10895.0,10950.0,541600.0,10950.0
166,2017-09-04,10945.0,10975.0,10855.0,10915.0,655800.0,10915.0
167,2017-09-05,10945.0,10960.0,10835.0,10840.0,621200.0,10840.0
168,2017-09-06,10745.0,10840.0,10725.0,10825.0,904000.0,10825.0
169,2017-09-07,10910.0,11045.0,10885.0,10945.0,753800.0,10945.0
170,2017-09-08,10785.0,10860.0,10610.0,10685.0,1910500.0,10685.0
171,2017-09-11,10650.0,10710.0,10555.0,10675.0,1114600.0,10675.0
172,2017-09-12,10780.0,10780.0,10620.0,10655.0,918500.0,10655.0
173,2017-09-13,10820.0,10910.0,10785.0,10890.0,713500.0,10890.0
174,2017-09-14,10900.0,10920.0,10820.0,10820.0,590200.0,10820.0
175,2017-09-15,10820.0,11150.0,10805.0,11150.0,1601800.0,11150.0
176,2017-09-19,11320.0,11335.0,11210.0,11315.0,1152900.0,11315.0
177,2017-09-20,11305.0,11310.0,11195.0,11275.0,837500.0,11275.0
178,2017-09-21,11400.0,11470.0,11365.0,11415.0,921900.0,11415.0
179,2017-09-22,11480.0,11485.0,11245.0,11320.0,988400.0,11320.0
180,2017-09-25,11425.0,11490.0,11375.0,11450.0,735800.0,11450.0
181,2017-09-26,11405.0,11405.0,11275.0,11280.0,884400.0,11280.0
182,2017-09-27,11245.0,11255.0,11155.0,11185.0,597700.0,11185.0
183,2017-09-28,11495.0,11495.0,11355.0,11465.0,1213300.0,11465.0
184,2017-09-29,11425.0,11450.0,11310.0,11395.0,1294400.0,11395.0
185,2017-10-02,11460.0,11510.0,11415.0,11455.0,614400.0,11455.0
186,2017-10-03,11455.0,11545.0,11440.0,11535.0,799000.0,11535.0
187,2017-10-04,11550.0,11700.0,11530.0,11680.0,849100.0,11680.0
188,2017-10-05,11680.0,11685.0,11565.0,11605.0,515700.0,11605.0
189,2017-10-06,11650.0,11655.0,11540.0,11560.0,775900.0,11560.0
190,2017-10-10,11560.0,11845.0,11560.0,11820.0,1041600.0,11820.0
191,2017-10-11,11700.0,11810.0,11670.0,11805.0,568200.0,11805.0
192,2017-10-12,11820.0,11840.0,11730.0,11835.0,724500.0,11835.0
193,2017-10-13,11820.0,11875.0,11720.0,11840.0,1284200.0,11840.0
194,2017-10-16,11900.0,11985.0,11865.0,11950.0,761800.0,11950.0
195,2017-10-17,11985.0,12125.0,11975.0,12030.0,908100.0,12030.0
196,2017-10-18,12100.0,12180.0,12020.0,12050.0,1149600.0,12050.0
197,2017-10-19,12050.0,12130.0,11990.0,12020.0,700300.0,12020.0
198,2017-10-20,11980.0,12000.0,11905.0,11955.0,920900.0,11955.0
199,2017-10-23,12100.0,12180.0,12040.0,12170.0,964900.0,12170.0
200,2017-10-24,12150.0,12275.0,12110.0,12275.0,713800.0,12275.0
201,2017-10-25,12415.0,12655.0,12385.0,12525.0,1534300.0,12525.0
202,2017-10-26,12495.0,12600.0,12470.0,12525.0,935400.0,12525.0
203,2017-10-27,12650.0,12650.0,12455.0,12595.0,940400.0,12595.0
204,2017-10-30,12565.0,12570.0,12445.0,12475.0,1052300.0,12475.0
205,2017-10-31,12505.0,12535.0,12445.0,12470.0,858400.0,12470.0
206,2017-11-01,12460.0,12640.0,12440.0,12620.0,807300.0,12620.0
207,2017-11-02,12740.0,12770.0,12655.0,12760.0,1085400.0,12760.0
208,2017-11-06,12850.0,13010.0,12730.0,13000.0,1287200.0,13000.0
209,2017-11-07,12945.0,13270.0,12910.0,13230.0,1371800.0,13230.0
210,2017-11-08,13225.0,13260.0,13085.0,13190.0,1220600.0,13190.0
211,2017-11-09,13270.0,13475.0,12905.0,13090.0,2025600.0,13090.0
212,2017-11-10,12865.0,13145.0,12830.0,13085.0,1456200.0,13085.0
213,2017-11-13,13010.0,13070.0,12810.0,12845.0,718400.0,12845.0
214,2017-11-15,12735.0,12815.0,12595.0,12640.0,1288900.0,12640.0
215,2017-11-16,12600.0,12905.0,12565.0,12875.0,997700.0,12875.0
216,2017-11-17,12925.0,13060.0,12795.0,12855.0,994500.0,12855.0
217,2017-11-20,12845.0,12915.0,12740.0,12760.0,670100.0,12760.0
218,2017-11-21,12790.0,12840.0,12710.0,12710.0,1034700.0,12710.0
219,2017-11-22,12870.0,12955.0,12815.0,12820.0,796300.0,12820.0
220,2017-11-24,12815.0,12960.0,12815.0,12940.0,687800.0,12940.0
221,2017-11-27,12985.0,12985.0,12780.0,12830.0,591700.0,12830.0
222,2017-11-28,12920.0,13260.0,12895.0,13145.0,1189700.0,13145.0
223,2017-11-29,12965.0,13190.0,12910.0,13165.0,1025600.0,13165.0
224,2017-11-30,12880.0,13000.0,12835.0,12920.0,1528900.0,12920.0
225,2017-12-01,13030.0,13110.0,12910.0,13065.0,799200.0,13065.0
226,2017-12-04,13050.0,13105.0,12965.0,12980.0,612700.0,12980.0
227,2017-12-05,13010.0,13070.0,12905.0,12995.0,643200.0,12995.0
228,2017-12-06,13070.0,13095.0,12755.0,12780.0,1142200.0,12780.0
229,2017-12-07,12895.0,13065.0,12875.0,13040.0,901400.0,13040.0
230,2017-12-08,13095.0,13185.0,12995.0,13110.0,1679500.0,13110.0
231,2017-12-11,13165.0,13370.0,13135.0,13360.0,711000.0,13360.0
232,2017-12-12,13450.0,13540.0,13395.0,13515.0,846200.0,13515.0
233,2017-12-13,13510.0,13535.0,13400.0,13435.0,823300.0,13435.0
234,2017-12-14,13375.0,13395.0,13225.0,13270.0,736700.0,13270.0
235,2017-12-15,13270.0,13370.0,13185.0,13215.0,1043400.0,13215.0
236,2017-12-18,13380.0,13660.0,13295.0,13640.0,784900.0,13640.0
237,2017-12-19,13445.0,13580.0,13280.0,13280.0,877700.0,13280.0
238,2017-12-20,13250.0,13365.0,13220.0,13340.0,483000.0,13340.0
239,2017-12-21,13350.0,13380.0,13280.0,13335.0,367900.0,13335.0
240,2017-12-22,13335.0,13425.0,13305.0,13390.0,461600.0,13390.0
